area_sqft,bedrooms,bathrooms,living_area_sqft,kitchen_area_sqft,dining_area_sqft,garage_area_sqft,balcony_area_sqft,floors,age_years,location,property_type,price_usd
4420,5,4,2141,482,402,177,113,1,41,Miami,Villa,1591200
978,7,5,396,90,88,499,80,4,4,Seattle,Penthouse,392178
6916,6,5,3609,379,584,593,243,3,1,Chicago,Apartment,4032028
1718,8,2,668,184,115,152,167,1,19,Chicago,Villa,266290
6862,8,3,3312,574,629,464,204,3,47,Chicago,Penthouse,1111644
6917,5,2,3013,404,648,589,276,4,47,Phoenix,Penthouse,4060279
6188,5,3,3010,656,331,165,289,4,28,Los Angeles,Villa,3341520
7225,7,1,2553,836,655,361,58,1,44,Seattle,Penthouse,2550425
5251,5,4,2076,502,402,688,236,4,14,Seattle,Villa,735140
6306,2,6,3018,508,554,1,137,2,25,Chicago,Apartment,2736804
1723,3,5,938,151,107,306,231,2,9,Miami,Penthouse,1118227
4949,1,4,2295,339,404,165,151,3,30,Boston,Apartment,2652664
4976,8,3,2261,490,275,107,193,2,36,Chicago,Apartment,2736800
6466,1,2,2929,474,360,24,114,1,11,Denver,Apartment,3245932
7565,2,4,3159,691,658,717,52,1,6,Los Angeles,Penthouse,4319615
1744,3,2,957,178,141,80,202,4,12,New York,Apartment,786544
1200,3,6,456,94,96,780,168,2,0,Denver,House,673200
2215,8,6,1074,210,173,429,237,2,40,Chicago,Townhouse,695510
4852,7,5,2076,511,393,71,135,4,45,Phoenix,Apartment,989808
971,7,4,457,78,49,682,13,3,38,New York,Apartment,400052
6530,4,1,2775,332,521,436,255,1,38,Los Angeles,Townhouse,1619440
5885,8,1,2218,557,574,238,48,2,1,Phoenix,House,1741960
4348,3,1,1660,355,310,173,21,1,5,Miami,House,2026168
5811,8,1,3181,586,571,603,91,1,25,Dallas,House,2603328
2590,3,6,1424,135,249,62,196,3,43,Phoenix,Penthouse,1041180
6634,8,5,2587,740,600,176,235,1,49,Miami,Townhouse,2613796
4008,3,2,1691,237,252,50,118,3,41,Houston,House,1819632
5187,3,1,2299,468,517,769,51,1,49,Denver,Townhouse,1576848
4391,8,1,1610,514,352,214,250,3,49,Dallas,Penthouse,1506113
3415,8,6,1679,247,242,754,75,1,0,Houston,House,1642615
5220,4,3,2575,340,466,38,245,2,41,Seattle,Townhouse,2808360
4844,1,5,2124,292,399,180,111,4,2,Seattle,Villa,1370852
6749,6,3,3705,545,349,297,216,4,37,Denver,Villa,1201322
7571,2,1,3471,757,694,33,238,1,7,Dallas,Villa,3505373
2668,7,4,1145,188,229,150,271,4,13,Los Angeles,Penthouse,1237952
1959,2,6,1016,183,103,750,198,3,2,Miami,Penthouse,985377
4792,3,2,1860,485,450,737,113,3,32,Seattle,Villa,579832
4464,3,3,1997,530,246,690,247,1,13,Miami,Penthouse,1303488
1449,8,6,535,102,108,4,130,4,33,Phoenix,Apartment,383985
5550,7,2,2116,569,427,411,164,3,16,Los Angeles,Penthouse,3563100
5472,4,5,2050,623,453,135,148,4,25,New York,Apartment,3332448
2816,2,3,1108,285,239,101,6,1,18,New York,Villa,940544
4117,8,4,1510,450,381,573,214,3,25,Phoenix,Apartment,1675619
1045,8,6,380,120,84,769,200,3,40,Denver,Villa,518320
5110,5,5,2222,495,329,563,65,3,10,Phoenix,Townhouse,986230
6049,5,5,2573,511,424,135,172,2,19,Boston,House,731929
1740,4,2,830,127,141,672,241,4,19,Miami,House,1077060
5241,8,5,1919,503,340,243,98,2,27,Boston,Apartment,3149841
4079,4,2,1851,363,341,538,240,1,35,Dallas,Penthouse,1798839
4141,6,3,2179,409,375,58,198,4,19,Dallas,House,1826181
2125,1,5,970,134,162,569,15,1,45,Houston,Apartment,1181500
5766,3,2,3143,647,560,36,190,2,2,Boston,Villa,2652360
3981,1,5,1660,415,315,384,76,1,31,Phoenix,Penthouse,1023117
6918,3,4,3004,546,399,339,96,1,29,Denver,Penthouse,2545824
5714,6,4,2372,524,348,564,158,3,3,Dallas,Penthouse,1828480
2756,5,4,1494,273,165,646,236,3,11,Houston,Townhouse,1193348
5960,8,5,2527,677,455,757,56,1,3,Seattle,Apartment,1120480
6980,8,3,3112,784,403,426,79,3,48,Chicago,Apartment,4285720
4215,5,4,1583,475,371,219,142,2,19,Boston,Townhouse,1888320
547,8,3,289,45,43,101,82,1,4,Chicago,Apartment,115417
2927,4,4,1255,150,277,559,72,4,26,Los Angeles,House,1091771
5144,5,6,2212,465,421,740,296,3,17,Boston,House,2273648
5566,6,6,2939,352,517,411,3,4,1,New York,Townhouse,2610454
1619,2,4,577,190,136,254,240,2,16,Seattle,Townhouse,663790
7782,7,1,2875,813,405,192,21,1,46,Houston,Villa,1112826
2967,5,5,1262,285,220,245,215,3,17,Dallas,House,1522071
4027,5,4,1801,266,220,490,288,3,6,Houston,House,1280586
1891,3,3,991,100,130,570,246,1,49,Miami,Apartment,1136491
6578,7,5,3036,493,646,98,120,3,31,Miami,House,3387670
6201,5,3,2688,577,415,353,211,3,0,Dallas,Villa,2436993
5083,3,4,2148,602,338,431,121,2,17,Los Angeles,Villa,1225003
7926,4,4,2891,587,739,28,130,4,34,Denver,Townhouse,4208706
4844,8,6,2339,524,245,676,57,2,3,Boston,Villa,2911244
1730,1,5,756,141,131,659,181,2,28,Dallas,Villa,835590
7141,8,6,2804,403,659,456,133,4,23,Seattle,Townhouse,3913268
2334,1,6,1158,142,150,241,120,2,12,New York,Penthouse,557826
2859,3,4,1215,229,229,71,68,1,33,Miami,Apartment,840546
5835,8,5,2338,541,491,272,31,1,15,Denver,Villa,1248690
2202,8,3,915,244,172,296,201,4,18,New York,Penthouse,574722
1381,3,6,542,97,101,532,104,3,48,Houston,House,425348
7696,5,5,4047,719,704,216,33,2,43,Denver,Apartment,2531984
4879,2,1,2607,276,446,687,95,1,8,Dallas,House,736729
4010,8,1,1945,400,231,467,141,3,26,Houston,Villa,1142850
1569,2,2,774,123,126,342,79,2,26,Seattle,Townhouse,371853
4667,2,6,2362,481,338,80,277,4,39,Phoenix,Penthouse,2338167
4670,6,1,1769,461,435,611,221,4,41,Miami,Penthouse,1186180
3941,1,1,1743,273,218,163,22,4,34,Seattle,Villa,1071952
6008,3,2,3089,495,542,535,290,4,35,New York,House,1123496
722,4,6,365,71,59,141,195,3,30,Dallas,Penthouse,92416
5861,2,1,3085,487,479,778,187,2,12,New York,Penthouse,3592793
4970,6,2,1900,430,278,789,208,4,35,Chicago,House,1590400
2148,1,6,1120,129,201,770,153,1,27,Los Angeles,Apartment,857052
6405,7,4,2262,426,425,359,228,4,14,Chicago,Penthouse,3151260
1676,6,4,691,160,93,438,60,4,13,Miami,Penthouse,911744
6202,5,5,2237,575,459,602,118,3,10,Chicago,Penthouse,1922620
7408,4,2,2709,868,588,638,261,3,50,Seattle,Villa,1259360
4068,7,3,1511,397,317,667,257,2,32,Boston,Townhouse,968184
7337,5,4,3265,464,642,176,244,1,17,Chicago,Townhouse,1210605
4018,2,6,2112,400,271,209,21,3,44,Seattle,Penthouse,896014
6493,7,3,2526,559,552,34,95,1,26,Denver,Apartment,2830948
7058,7,5,3328,788,590,39,174,2,25,Boston,Penthouse,2110342
2855,5,6,1186,230,149,401,138,2,39,Denver,House,847935
3515,3,2,1265,389,234,732,147,4,18,Chicago,Villa,910385
1832,2,4,738,143,163,118,265,1,24,Miami,Villa,1071720
4293,4,1,1665,379,278,562,229,1,34,Dallas,Apartment,1910385
2681,7,1,1203,143,162,555,258,3,19,Boston,Penthouse,868644
7445,7,5,3719,649,737,212,80,4,35,Miami,House,3216240
4579,8,6,1855,234,243,641,193,1,49,Chicago,Villa,961590
2872,2,6,1073,223,217,60,26,4,6,Phoenix,Townhouse,976480
7440,7,2,4009,692,646,621,248,4,46,Denver,House,3281040
1496,6,2,629,91,104,744,136,3,49,Los Angeles,Villa,188496
7440,1,4,3205,441,681,86,240,4,45,Chicago,Apartment,1607040
4367,4,6,2271,430,307,682,131,1,30,Los Angeles,Townhouse,1991352
1184,2,1,531,96,113,794,285,2,42,Boston,Townhouse,747104
7602,7,3,3199,718,433,740,59,2,34,Seattle,Penthouse,3268860
1307,3,2,625,68,121,329,27,4,43,New York,Apartment,814261
6065,4,2,2560,659,459,522,32,2,14,Phoenix,House,2171270
3112,1,6,1652,265,209,790,162,3,10,Phoenix,Townhouse,756216
2206,3,5,773,238,199,375,77,2,19,Chicago,Villa,273544
2357,8,3,1094,260,200,505,279,3,22,Dallas,Townhouse,1154930
4848,4,1,2528,295,301,526,168,3,0,Chicago,House,2482176
2829,1,1,1031,160,258,207,194,3,44,Boston,Villa,1202325
1370,8,3,519,157,93,580,237,3,28,Los Angeles,House,438400
7509,5,5,3967,474,740,177,115,2,36,Phoenix,Townhouse,4159986
4289,1,2,1551,260,252,707,21,2,20,Miami,Villa,1539751
1080,6,5,560,81,56,185,211,1,47,Chicago,Apartment,524880
3831,7,2,1616,326,300,539,291,1,40,Houston,Apartment,1750767
3070,1,1,1184,196,271,0,260,2,35,Boston,Villa,1000820
5099,1,2,2396,477,309,744,5,2,36,New York,House,1213562
6968,4,4,2514,620,383,98,299,4,11,Phoenix,Apartment,1825616
2306,3,3,825,128,178,348,295,4,9,Miami,Townhouse,1450474
7109,2,6,3226,810,564,663,277,3,49,Dallas,Penthouse,4599523
703,3,2,305,72,45,701,214,1,9,Miami,House,408443
4265,8,5,1713,257,327,556,280,2,36,New York,Villa,882855
5275,5,6,2138,417,416,165,172,4,19,Los Angeles,Penthouse,2885425
7301,2,5,3485,770,489,265,19,2,37,Los Angeles,Penthouse,3752714
3438,2,3,1642,376,339,93,80,1,0,Seattle,Penthouse,1787760
2309,6,3,1154,176,121,547,48,1,12,Seattle,Townhouse,355586
5205,2,3,2576,442,381,705,133,1,8,New York,Penthouse,2389095
1761,5,6,701,176,157,186,195,2,47,Seattle,Apartment,1067166
5156,4,5,1965,535,363,786,92,3,12,Houston,Townhouse,1093072
2238,1,2,885,260,171,267,69,4,1,Miami,Townhouse,476694
7233,2,5,3545,463,514,11,246,4,7,Phoenix,Villa,1533396
2108,4,5,1001,240,125,411,235,1,16,Boston,Apartment,651372
1868,8,3,793,220,126,418,77,2,18,Houston,House,1083440
3045,4,5,1421,265,248,312,227,1,0,Denver,Apartment,1251495
1120,2,5,558,68,78,398,290,4,41,Miami,Apartment,581280
4755,1,6,2334,506,365,748,126,2,13,Dallas,Apartment,2872020
5995,8,3,2358,512,383,195,196,4,16,Seattle,Penthouse,1360865
550,7,4,225,57,32,36,73,2,36,Boston,Apartment,272800
3728,2,5,1881,204,332,292,277,3,20,Phoenix,Villa,730688
1492,3,4,741,92,101,596,236,1,48,Denver,Penthouse,531152
1256,6,5,555,93,73,431,42,2,10,Phoenix,Townhouse,278832
2831,6,5,1473,219,146,335,261,1,22,Miami,Villa,605834
2447,4,5,966,145,202,199,210,1,12,New York,Townhouse,1177007
1337,6,6,652,151,124,95,245,1,32,Miami,Townhouse,715295
3910,5,4,2068,273,317,741,134,3,31,Houston,House,1552270
928,6,6,466,50,67,279,160,1,5,Houston,Penthouse,378624
5832,1,6,2247,533,365,400,14,3,9,Dallas,Townhouse,3668328
4761,7,4,2370,239,321,295,202,1,9,Denver,Villa,2266236
2655,6,2,1031,241,208,765,219,4,21,Houston,Townhouse,1715130
5070,8,5,2429,351,423,521,283,4,3,Phoenix,Townhouse,2301780
2717,8,3,1410,259,167,111,54,3,10,Dallas,Villa,986271
6350,1,6,3387,438,519,338,175,3,26,Los Angeles,Penthouse,3422650
7069,3,3,3322,642,607,392,93,1,19,Phoenix,Penthouse,2000527
5917,2,1,2909,534,434,653,130,1,1,Miami,House,3757295
6295,4,3,3380,754,620,99,155,1,25,New York,Villa,1309360
5205,2,1,2364,327,278,207,235,1,47,Los Angeles,Villa,1431375
3059,4,2,1660,305,208,491,42,1,43,Dallas,House,1514205
7561,7,5,2968,448,672,11,26,2,20,Chicago,Apartment,1875128
4024,3,1,1422,253,255,59,161,4,25,Chicago,Penthouse,2317824
5362,3,3,2839,608,513,528,64,2,47,Houston,Penthouse,1522808
1934,2,1,1041,222,150,64,167,2,37,Seattle,Townhouse,406140
6082,7,4,2309,488,405,661,77,3,32,Houston,Townhouse,3393756
7654,7,3,4186,680,525,225,277,1,50,Phoenix,Villa,4102544
2001,6,1,735,105,144,757,79,1,19,Los Angeles,House,452226
3036,1,3,1345,359,163,192,33,4,32,Dallas,Villa,1071708
1186,8,5,572,134,112,13,151,4,27,Denver,Penthouse,505236
7300,6,6,3585,418,645,535,183,1,13,Los Angeles,Penthouse,3095200
1092,1,1,512,103,106,553,191,4,43,Chicago,Townhouse,620256
3204,1,1,1505,199,195,472,161,2,13,Boston,Townhouse,1518696
3765,7,4,1749,430,267,405,216,2,15,Seattle,Apartment,888540
5084,3,4,2442,440,331,128,42,2,8,Dallas,Villa,3040232
1739,5,5,766,121,131,91,71,2,22,New York,Townhouse,992969
7077,3,1,3878,723,605,581,154,2,18,Houston,Penthouse,4437279
6091,7,3,3046,355,437,671,292,1,14,Houston,Villa,3831239
2064,6,5,737,244,181,176,124,4,4,Seattle,Villa,621264
1770,5,6,809,184,92,711,274,4,30,Miami,House,295590
1761,4,6,765,184,94,169,121,2,8,Miami,Villa,922764
3392,3,3,1387,316,316,304,294,3,0,Chicago,House,1200768
6861,7,4,2849,628,372,515,181,2,10,Miami,Villa,1749555
6732,8,3,3512,418,653,550,155,4,25,Miami,Townhouse,4315212
7143,5,3,3068,455,518,159,190,4,46,Seattle,Apartment,4128654
7519,7,5,3700,569,573,282,116,4,32,New York,Penthouse,4376058
1353,1,2,545,93,112,101,102,4,42,Los Angeles,Apartment,533082
2605,5,3,1234,200,135,392,285,3,35,Phoenix,Apartment,1253005
501,2,1,234,49,31,315,238,2,44,Houston,Townhouse,71643
3640,3,5,1562,432,303,283,126,2,31,Chicago,Apartment,1445080
7855,3,4,3418,779,426,751,212,3,5,Miami,House,2120850
5604,4,1,2045,626,292,57,198,3,36,Miami,Villa,1496268
7528,6,4,3223,468,617,404,51,4,22,Dallas,Apartment,4125344
5293,4,5,2060,531,427,795,154,4,29,Phoenix,Penthouse,1455575
7797,7,4,4220,920,571,792,243,4,7,Chicago,Apartment,2214348
6183,5,6,3318,517,458,564,111,1,9,New York,House,1638495
3100,4,5,1160,335,289,535,267,2,34,Boston,Apartment,424700
2613,2,5,1354,173,138,729,107,1,23,Phoenix,Penthouse,376272
5754,1,3,2926,316,500,620,142,2,30,Los Angeles,Villa,1542072
7892,7,2,3588,725,399,651,199,3,3,Los Angeles,Villa,986500
1536,7,3,622,89,86,177,179,3,11,Dallas,House,373248
7511,6,4,2721,808,719,87,140,2,20,Houston,Villa,2178190
6394,6,1,2933,740,334,558,70,4,45,Chicago,Apartment,3708520
5695,1,6,2141,347,375,10,48,2,14,New York,Townhouse,3046825
4497,4,1,2415,409,237,615,1,4,28,Phoenix,Apartment,1362591
1488,3,3,729,84,142,726,272,4,44,Boston,Townhouse,831792
7019,3,6,3832,560,644,597,214,4,41,Boston,Penthouse,3284892
1965,7,6,730,123,184,71,39,4,20,New York,Penthouse,713295
7273,1,2,3223,428,420,295,75,4,1,Phoenix,Townhouse,3018295
4115,3,1,1603,252,400,252,288,4,41,Houston,Villa,979370
3252,6,4,1417,329,201,187,163,4,44,Houston,Townhouse,1704048
1927,8,2,718,114,142,696,199,2,19,Seattle,House,529925
2294,2,2,1128,127,134,594,101,2,44,Dallas,House,949716
5809,1,2,3125,573,470,657,259,4,42,Boston,House,3450546
7470,5,5,3891,677,440,328,90,1,26,Houston,Penthouse,1284840
5175,5,3,2250,578,484,655,175,4,13,Dallas,Apartment,1692225
7142,3,3,2585,680,698,82,78,2,10,Dallas,Townhouse,2014044
4392,8,2,2078,228,358,747,156,1,44,Dallas,Penthouse,1739232
1507,1,6,683,139,125,635,209,4,43,New York,House,314963
3168,2,3,1550,372,167,342,0,1,21,Houston,Townhouse,1444608
7601,7,3,3557,906,758,223,246,2,3,New York,Apartment,2113078
1065,1,6,495,95,64,541,179,4,1,Chicago,Villa,602790
670,4,1,250,76,43,281,156,1,47,Chicago,House,225120
1187,2,3,501,107,80,68,34,4,9,Chicago,Villa,369157
3291,1,5,1209,180,269,446,204,3,18,New York,Townhouse,1694865
5061,5,4,2153,388,366,337,282,3,29,Seattle,Apartment,2495073
1617,5,5,694,130,123,244,92,2,17,Houston,Villa,216678
877,4,3,357,78,64,597,85,2,38,Chicago,Townhouse,518307
3458,5,4,1794,257,221,452,295,3,39,New York,Penthouse,2140502
5489,5,2,2452,338,297,107,140,3,19,New York,Townhouse,2920148
3398,7,2,1363,255,246,223,21,4,11,Dallas,Apartment,2018412
4582,5,5,1679,524,424,239,155,4,7,Houston,Apartment,2345984
2037,2,5,985,115,132,324,86,1,40,New York,House,529620
2493,6,1,914,167,184,111,57,1,37,Los Angeles,Townhouse,1573083
761,4,5,406,74,44,29,145,2,9,Dallas,Penthouse,412462
3285,8,4,1664,323,208,693,123,2,1,Phoenix,Villa,1655640
6663,5,2,2844,738,599,149,293,4,21,Phoenix,Penthouse,2885079
1483,1,1,639,82,125,26,65,3,49,Denver,House,938739
6573,6,1,3530,611,572,278,234,2,22,Chicago,House,1649823
3025,5,3,1596,272,258,162,299,2,33,Denver,Apartment,1842225
3593,5,1,1707,370,305,71,234,4,7,Phoenix,Penthouse,1415642
2493,7,5,1042,233,166,261,40,2,8,Chicago,Townhouse,1124343
3146,5,6,1319,296,166,334,170,2,9,Seattle,Townhouse,1824680
7317,7,4,2567,570,369,68,173,3,30,Chicago,House,1265841
7442,5,5,3779,780,505,46,76,1,43,Boston,Penthouse,1399096
1039,8,5,422,114,100,399,134,4,11,Miami,Apartment,400015
2778,7,4,1173,323,275,282,135,4,7,Phoenix,House,755616
6354,5,2,2399,514,612,101,187,3,0,Boston,Apartment,1671102
2133,4,3,946,118,143,207,279,4,10,Phoenix,Apartment,580176
3693,5,5,1883,381,303,86,266,4,7,Houston,Penthouse,1166988
7122,8,3,3319,504,640,486,46,4,25,New York,House,4194858
5035,3,5,2452,562,425,329,204,1,0,Phoenix,Villa,1862950
6751,5,6,3400,553,415,228,55,4,22,Houston,Penthouse,4023596
6131,2,2,2310,473,440,429,87,3,45,Denver,Apartment,3083893
2995,7,2,1208,295,253,342,119,1,0,Houston,Penthouse,616970
6394,6,3,3266,498,350,363,159,1,12,Los Angeles,Penthouse,1157314
4375,1,1,2008,448,415,766,250,2,3,Dallas,Apartment,2353750
5448,8,1,2150,371,350,738,250,4,23,Dallas,House,1612608
3958,1,4,1632,356,352,752,146,1,26,New York,Penthouse,1464460
1339,2,6,695,141,71,590,224,1,27,Seattle,Villa,417768
4044,2,1,2200,462,270,167,163,3,6,Dallas,House,1674216
5903,7,3,2984,642,416,280,29,4,24,Phoenix,Townhouse,1511168
4017,7,5,1923,236,227,15,223,1,9,Boston,Penthouse,1847820
3068,1,1,1081,359,190,8,37,2,1,Miami,House,892788
1655,6,5,766,132,119,546,120,2,22,Denver,Townhouse,481605
4459,8,1,2045,300,291,530,206,2,46,Boston,Apartment,2483663
4040,2,1,1919,349,399,169,141,2,33,New York,Townhouse,2286640
2933,1,5,1096,274,248,626,52,3,27,Houston,Apartment,1199597
1562,5,5,588,163,111,779,90,4,11,Houston,House,196812
3141,4,6,1259,291,218,148,10,2,48,Seattle,Townhouse,1897164
2707,4,4,1214,288,181,776,188,3,46,Houston,Villa,1689168
5487,1,4,2366,543,277,630,172,1,12,Houston,House,2825805
1665,7,2,756,107,159,716,43,4,36,Denver,Penthouse,739260
5950,4,1,3027,371,494,194,145,4,37,Phoenix,Penthouse,2457350
6431,2,2,2692,661,569,712,189,4,42,Phoenix,Penthouse,3266948
7564,6,3,2923,693,382,184,166,2,3,Dallas,Apartment,1255624
3785,6,5,2040,273,373,204,281,2,4,Boston,Penthouse,666160
3324,4,1,1573,175,183,453,151,3,40,Dallas,Townhouse,1881384
7290,3,6,3708,516,390,230,234,3,41,New York,Townhouse,3163860
3739,4,1,1443,405,317,191,298,3,33,Boston,Penthouse,504765
974,5,2,435,72,68,413,234,2,26,Denver,House,573686
5522,1,5,2876,421,492,148,241,3,49,Seattle,House,839344
3787,6,2,1458,357,359,759,239,3,13,Miami,Apartment,863436
6878,2,2,2592,455,645,582,94,2,30,Chicago,House,2517348
7474,1,5,3692,840,732,462,119,3,6,Boston,Villa,3497832
6629,3,2,2519,598,416,52,169,4,31,Houston,House,2233973
7810,3,3,3137,578,752,590,290,1,49,Dallas,Apartment,1624480
5908,8,3,2509,557,423,435,223,2,7,Dallas,House,1742860
5373,6,5,2368,318,337,385,76,3,37,New York,Penthouse,848934
2525,2,2,1309,141,228,246,233,3,27,Phoenix,House,532775
1074,5,2,486,56,101,575,295,2,39,Seattle,Villa,173988
6848,3,3,3750,567,665,392,102,1,44,Miami,Penthouse,1280576
1780,4,5,957,155,93,759,44,3,12,Seattle,Penthouse,1110720
5856,6,4,2780,396,393,456,258,2,49,Miami,Penthouse,1018944
7728,2,4,3629,865,522,252,246,2,12,Seattle,Townhouse,1429680
2185,2,1,1088,249,166,79,153,2,6,Chicago,Townhouse,463220
6174,7,5,3041,547,422,779,274,4,2,Miami,Apartment,3568572
7487,2,6,3617,685,715,42,245,3,33,New York,Townhouse,3548838
3132,2,3,1217,265,285,676,270,1,22,Miami,House,463536
6380,5,2,3391,408,408,297,130,3,46,Los Angeles,Villa,3828000
3168,4,2,1173,159,195,210,166,1,8,Phoenix,Apartment,868032
6025,6,2,2550,620,572,385,283,4,48,Dallas,Apartment,819400
1334,4,1,720,81,130,521,269,4,4,New York,House,206770
4026,2,6,1933,314,277,371,211,2,44,New York,Villa,1694946
3727,7,3,1981,345,369,525,182,4,47,Dallas,Townhouse,603774
5144,8,3,2230,379,493,152,273,3,14,Los Angeles,Townhouse,2561712
7071,7,2,2678,705,394,359,105,1,39,Seattle,Townhouse,2008164
853,7,1,326,95,46,334,86,2,23,Dallas,House,554450
4528,4,1,2269,229,334,262,206,3,40,New York,Villa,2313808
6463,2,5,2777,504,332,302,79,4,36,Denver,House,2636904
5135,7,6,1933,413,399,267,225,4,46,Denver,House,2182375
3454,2,4,1750,236,189,622,268,4,37,Miami,Penthouse,763334
1458,7,5,772,120,105,703,186,4,22,Chicago,Apartment,384912
3451,8,5,1490,389,207,71,4,2,4,Houston,Penthouse,890358
4835,4,4,2286,571,272,389,136,4,28,Los Angeles,Apartment,1179740
576,8,3,304,61,37,303,273,3,29,Miami,Villa,296064
7983,1,1,2965,794,796,405,265,3,9,Phoenix,Townhouse,1029807
7085,8,3,2977,430,485,212,280,2,9,Houston,Villa,1034410
3251,5,4,1720,284,203,191,297,1,12,Los Angeles,Townhouse,581929
2330,2,2,978,239,198,108,222,3,41,Houston,Penthouse,983260
2347,7,2,1162,190,163,135,268,3,49,Los Angeles,Penthouse,1487998
690,4,1,272,58,36,335,229,2,1,Miami,Penthouse,405030
5218,5,3,2165,277,474,25,161,1,10,Phoenix,Villa,2155034
5584,8,6,2677,326,365,400,211,4,25,Seattle,Apartment,3545840
5429,2,4,2478,334,490,145,64,3,7,Houston,Townhouse,1389824
3357,3,3,1474,371,334,443,294,2,47,Seattle,Apartment,1245447
5418,7,5,2714,281,275,66,230,4,7,Boston,Penthouse,2454354
682,4,6,330,59,53,602,19,1,12,Phoenix,Townhouse,118668
6851,4,3,2508,619,539,614,50,3,13,Los Angeles,Townhouse,4357236
7218,2,6,3408,700,441,693,130,3,14,Dallas,Villa,1342548
6693,2,2,3392,522,640,517,99,2,38,Denver,House,1024029
4845,7,3,1887,338,251,67,32,4,28,New York,Apartment,804270
4662,7,2,2364,479,451,117,281,3,20,Denver,Penthouse,1058274
1579,3,1,852,108,91,297,119,4,49,Miami,Penthouse,577914
1381,3,3,623,100,109,622,66,2,29,Dallas,Townhouse,845172
2216,2,2,829,235,154,399,266,3,8,Seattle,Penthouse,981688
2384,2,5,1066,241,186,62,192,1,4,Miami,Penthouse,1134784
7754,4,6,3170,728,545,248,214,1,4,Chicago,Villa,4202668
3588,2,6,1451,331,181,21,56,3,7,Dallas,House,613548
2700,6,5,1477,265,245,297,297,4,25,New York,Villa,1433700
3966,5,5,1876,337,282,424,126,3,31,Houston,Apartment,2447022
6294,8,2,3246,645,358,546,57,2,47,Seattle,Villa,3342114
7411,5,3,3072,399,679,728,294,3,41,Los Angeles,Apartment,3735144
4322,5,1,1983,457,405,293,242,3,35,New York,House,1573208
7454,1,4,3735,793,684,465,256,1,1,Miami,Apartment,3003962
6854,5,2,2696,376,419,216,282,1,34,Houston,Apartment,1932828
5044,6,2,2697,599,446,279,111,3,10,Houston,Penthouse,1089504
5487,2,6,2088,325,415,94,163,3,48,Denver,Penthouse,1936911
2159,8,6,802,254,126,258,143,1,38,Seattle,Penthouse,505206
6860,3,5,2647,673,401,109,261,4,42,Houston,Villa,3786720
3921,4,1,2129,446,269,504,135,1,14,Miami,Villa,1552716
2054,1,4,1121,197,141,700,4,1,46,Phoenix,Townhouse,571012
2429,6,2,910,223,147,607,141,2,38,Los Angeles,Penthouse,1012893
4885,8,6,1973,423,349,787,95,4,18,Phoenix,Penthouse,2549970
6103,3,3,3121,376,369,506,183,2,16,Chicago,House,3283414
4556,3,4,2373,475,244,0,240,3,41,New York,Penthouse,1015988
3026,4,2,1404,257,296,62,163,1,29,Dallas,Penthouse,747422
711,7,3,338,80,35,114,53,1,37,Dallas,Apartment,425178
5726,3,5,2731,490,568,16,257,4,23,Denver,House,1929662
6102,2,2,3266,364,521,593,278,3,13,Chicago,House,2367576
7342,7,2,3484,752,429,143,22,4,27,Los Angeles,Villa,4008732
7096,4,4,3876,750,421,60,226,2,30,Boston,Apartment,872808
2185,7,4,801,145,109,645,231,1,41,Denver,Penthouse,1241080
1015,2,5,455,99,81,22,217,2,23,Los Angeles,Townhouse,250705
1354,4,4,710,126,126,157,281,2,37,Houston,Townhouse,540246
511,6,6,197,58,50,470,63,3,3,Los Angeles,Villa,219219
1787,5,6,962,208,151,705,164,4,22,Denver,Townhouse,939962
4992,2,1,1765,545,444,295,74,1,50,Chicago,Villa,2191488
5961,3,1,2159,493,549,451,102,3,12,Seattle,Villa,3189135
5565,3,3,2044,410,291,74,228,2,8,Dallas,Apartment,2509815
6506,1,1,3381,468,552,701,42,4,15,Denver,Townhouse,2745532
7358,3,3,3479,376,586,790,44,4,12,Dallas,House,3303742
3334,6,6,1524,227,240,360,65,1,18,Seattle,Villa,1376942
5974,6,5,2712,588,522,132,166,3,26,Miami,Apartment,1368046
5437,8,3,2740,390,361,405,283,1,30,Houston,House,1576730
2745,3,4,1403,186,186,705,235,2,24,New York,Villa,1342305
7191,8,3,2790,742,433,219,15,1,24,Miami,House,2200446
1988,4,2,769,220,137,785,235,2,13,Los Angeles,Penthouse,1001952
3065,4,6,1247,355,194,590,89,4,27,Denver,Townhouse,1667360
1798,4,4,959,175,172,148,300,2,10,New York,Apartment,494450
7707,7,4,3801,905,510,561,210,3,13,Seattle,Villa,2250444
5570,8,2,2650,555,476,760,207,3,40,Dallas,Penthouse,985890
3212,3,3,1466,291,311,558,96,1,18,Seattle,House,1907928
1996,6,6,781,183,166,127,242,1,0,Phoenix,Villa,1045904
5962,1,5,3081,451,512,681,267,2,19,Los Angeles,Villa,3034658
2383,4,3,1146,155,234,124,11,2,13,Los Angeles,Villa,355067
7667,8,5,3768,790,615,517,254,4,14,Chicago,House,2430439
3480,4,1,1411,245,260,714,133,2,29,Seattle,Villa,908280
1607,5,2,696,126,134,748,198,3,33,Seattle,Apartment,562450
4023,8,2,1835,417,279,499,108,3,22,Dallas,Villa,732186
2941,5,3,1483,191,157,251,274,2,47,Dallas,Apartment,1679311
7844,5,5,4038,870,624,765,93,1,5,Los Angeles,House,3772964
